ISO,Country,Region,City,Postcode,Street,Latitude,Longitude
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Ahmed Ibn Hanbal Street,30.300077,31.77997
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Al Imam Al Shafie Street,30.299554,31.759393
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Asad Allah Street,30.299746,31.755107
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Belbes - 10th of Ramadan Road,30.297967,31.677971
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44634,Masr Al Nour Road,30.297831,31.685978
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Mohamed Hafez Street,30.299745,31.744319
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Omar Ibn Abd Al Aziz Street,30.299877,31.740031
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Omar Ibn Al Khatab Street,30.300369,31.729908
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44634,Omar Ibn Al Khatab Street,30.299382,31.725197
EG,Egypt,Al Sharqia Governorate,10th of Ramadan City,44629,Othman Ibn Affan Street,30.29766,31.697372
EG,Egypt,Al Sharqia Governorate,Al Helsamiya,44669,Teraa Al Saeidia,30.649906,31.754377
EG,Egypt,Al Sharqia Governorate,Al-Salheya Al-Gedida,,403,30.65023,31.959694
EG,Egypt,Al Sharqia Governorate,Bahnabai,44819,"Banayous, Al Zagazig Road",30.649948,31.479953
EG,Egypt,Al Sharqia Governorate,Cairo,44629,"Cairo, Ismailia Desert Road",30.297127,31.801965
EG,Egypt,Al Sharqia Governorate,Ezab Arab al Tahawiya,44888,"Cairo, Al Ismaeileya Agricultural Road",30.509987,31.714681
EG,Egypt,Al Sharqia Governorate,Izbat al Hakim,44661,Al Sheikh Abou Hammad Street,30.509689,31.660398
EG,Egypt,Al Sharqia Governorate,Izbat Suwaylim,44621,"Cairo, Belbes Desert Road",30.30214,31.487925
EG,Egypt,Al Sharqia Governorate,Kafr Farag Girgis,44692,Wabour Al Nour Street,30.511435,31.335199
EG,Egypt,Al Sharqia Governorate,Kafr Saqr,44689,Al Markz Street,30.891351,31.653937
